Freq.	V(cold)	V(hot)
3.15172969816298e+03	(-2.00631497892328e-04dB,1.79917578950253e+02°)	(-8.98425912859005e-05dB,4.90973789299406e-02°)
3.37794025157860e+03	(-2.03515945653580e-04dB,1.79902346186645e+02°)	(-8.91960958606205e-05dB,4.33041091538637e-02°)
3.62038671967512e+03	(-2.07026966880947e-04dB,1.79886644065327e+02°)	(-8.86511320450348e-05dB,3.77189777695755e-02°)
3.88023441026661e+03	(-2.11232143375156e-04dB,1.79870397117642e+02°)	(-8.81972099145870e-05dB,3.23151402654498e-02°)
4.15873226934392e+03	(-2.16212418143859e-04dB,1.79853527256842e+02°)	(-8.78255919821736e-05dB,2.70666234821804e-02°)
4.45721888407614e+03	(-2.22063653300109e-04dB,1.79835953402923e+02°)	(-8.75291250231503e-05dB,2.19482007799493e-02°)
4.77712891666844e+03	(-2.28898475117649e-04dB,1.79817591093100e+02°)	(-8.73021023843500e-05dB,1.69352707927346e-02°)
5.11999999999999e+03	(-2.36848441662240e-04dB,1.79798352076059e+02°)	(-8.71401541376415e-05dB,1.20037391872103e-02°)
5.48748012818581e+03	(-2.46066574780895e-04dB,1.79778143888061e+02°)	(-8.70401629670352e-05dB,7.12990285810460e-03°)
5.88133557758480e+03	(-2.56730305072881e-04dB,1.79756869408847e+02°)	(-8.70002041412432e-05dB,2.29033600356258e-03°)
6.30345939632596e+03	(-2.69044886629203e-04dB,1.79734426395250e+02°)	(-8.70195085118586e-05dB,-2.53822246691607e-03°)
6.75588050315720e+03	(-2.83247347058178e-04dB,1.79710706990268e+02°)	(-8.70984476566976e-05dB,-7.37898073300583e-03°)
7.24077343935023e+03	(-2.99611048872856e-04dB,1.79685597205281e+02°)	(-8.72385410776504e-05dB,-1.22552056097905e-02°)
7.76046882053322e+03	(-3.18450949914375e-04dB,1.79658976372931e+02°)	(-8.74424853961480e-05dB,-1.71903343757251e-02°)
8.31746453868783e+03	(-3.40129663965950e-04dB,1.79630716568077e+02°)	(-8.77142063283354e-05dB,-2.22080874196937e-02°)
8.91443776815229e+03	(-3.65064438051426e-04dB,1.79600681994094e+02°)	(-8.80589341854071e-05dB,-2.73325822484593e-02°)
9.55425783333688e+03	(-3.93735180514356e-04dB,1.79568728331590e+02°)	(-8.84833045905907e-05dB,-3.25884494023256e-02°)
1.02400000000000e+04	(-4.26693694183303e-04dB,1.79534702046496e+02°)	(-8.89954861891372e-05dB,-3.80009508359791e-02°)
1.09749602563716e+04	(-4.64574291930180e-04dB,1.79498439654271e+02°)	(-8.96053378866342e-05dB,-4.35961013332981e-02°)
1.17626711551696e+04	(-5.08105998565603e-04dB,1.79459766936780e+02°)	(-9.03245986321859e-05dB,-4.94007935394609e-02°)
1.26069187926519e+04	(-5.58126573259365e-04dB,1.79418498108187e+02°)	(-9.11671133503166e-05dB,-5.54429272110195e-02°)
1.35117610063144e+04	(-6.15598621679085e-04dB,1.79374434926015e+02°)	(-9.21490994673666e-05dB,-6.17515433048200e-02°)
1.44815468787005e+04	(-6.81628106793693e-04dB,1.79327365743257e+02°)	(-9.32894590442697e-05dB,-6.83569635498259e-02°)
1.55209376410664e+04	(-7.57485613386102e-04dB,1.79277064497203e+02°)	(-9.46101426482370e-05dB,-7.52909361721649e-02°)
1.66349290773757e+04	(-8.44630773587133e-04dB,1.79223289630393e+02°)	(-9.61365718182571e-05dB,-8.25867884731651e-02°)
1.78288755363046e+04	(-9.44740321251628e-04dB,1.79165782938828e+02°)	(-9.78981284336740e-05dB,-9.02795869929496e-02°)
1.91085156666738e+04	(-1.05974031191392e-03dB,1.79104268342298e+02°)	(-9.99287202441818e-05dB,-9.84063060284252e-02°)
2.04799999999999e+04	(-1.19184312415774e-03dB,1.79038450571429e+02°)	(-1.02267433538249e-04dB,-1.07006005314439e-01°)
2.19499205127432e+04	(-1.34358994914307e-03dB,1.78968013765721e+02°)	(-1.04959285473116e-04dB,-1.16120017720639e-01°)
2.35253423103392e+04	(-1.51789957859695e-03dB,1.78892619976604e+02°)	(-1.08056090575469e-04dB,-1.25792147864368e-01°)
2.52138375853038e+04	(-1.71812442061552e-03dB,1.78811907569224e+02°)	(-1.11617458058428e-04dB,-1.36068882591988e-01°)
2.70235220126288e+04	(-1.94811480855813e-03dB,1.78725489516406e+02°)	(-1.15711939142175e-04dB,-1.46999614337529e-01°)
2.89630937574009e+04	(-2.21229282381972e-03dB,1.78632951577994e+02°)	(-1.20418346531822e-04dB,-1.58636878428842e-01°)
3.10418752821329e+04	(-2.51573703095870e-03dB,1.78533850358507e+02°)	(-1.25827271318231e-04dB,-1.71036605477668e-01°)
3.32698581547513e+04	(-2.86427972649448e-03dB,1.78427711235902e+02°)	(-1.32042826594209e-04dB,-1.84258390061597e-01°)
3.56577510726091e+04	(-3.26461853427038e-03dB,1.78314026154041e+02°)	(-1.39184651324669e-04dB,-1.98365776982965e-01°)
3.82170313333475e+04	(-3.72444444357475e-03dB,1.78192251271453e+02°)	(-1.47390212932052e-04dB,-2.13426566472805e-01°)
4.09599999999999e+04	(-4.25258868686945e-03dB,1.78061804458978e+02°)	(-1.56817453064996e-04dB,-2.29513139797191e-01°)
4.38998410254864e+04	(-4.85919119430884e-03dB,1.77922062639066e+02°)	(-1.67647827254474e-04dB,-2.46702806819173e-01°)
4.70506846206784e+04	(-5.55589374967619e-03dB,1.77772358959822e+02°)	(-1.80089797090958e-04dB,-2.65078177172289e-01°)
5.04276751706076e+04	(-6.35606140981934e-03dB,1.77611979797466e+02°)	(-1.94382841986938e-04dB,-2.84727556811789e-01°)
5.40470440252576e+04	(-7.27503624466070e-03dB,1.77440161581649e+02°)	(-2.10802067742023e-04dB,-3.05745371827508e-01°)
5.79261875148018e+04	(-8.33042801178945e-03dB,1.77256087439276e+02°)	(-2.29663500504082e-04dB,-3.28232621528299e-01°)
6.20837505642657e+04	(-9.54244700519766e-03dB,1.77058883654042e+02°)	(-2.51330167882882e-04dB,-3.52297362942341e-01°)
6.65397163095026e+04	(-1.09342850172126e-02dB,1.76847615941038e+02°)	(-2.76219084197644e-04dB,-3.78055229020904e-01°)
7.13155021452182e+04	(-1.25325511311063e-02dB,1.76621285538533e+02°)	(-3.04809273982404e-04dB,-4.05629982985677e-01°)
7.64340626666950e+04	(-1.43677699237141e-02dB,1.76378825122685e+02°)	(-3.37650988073365e-04dB,-4.35154111421759e-01°)
8.19199999999997e+04	(-1.64749506042712e-02dB,1.76119094555492e+02°)	(-3.75376289179337e-04dB,-4.66769458890267e-01°)
8.77996820509728e+04	(-1.88942366481814e-02dB,1.75840876482144e+02°)	(-4.18711210310293e-04dB,-5.00627907016333e-01°)
9.41013692413567e+04	(-2.16716465975041e-02dB,1.75542871801238e+02°)	(-4.68489719434897e-04dB,-5.36892101200253e-01°)
1.00855350341215e+05	(-2.48599178842759e-02dB,1.75223695040426e+02°)	(-5.25669758356075e-04dB,-5.75736228301564e-01°)
1.08094088050515e+05	(-2.85194667706790e-02dB,1.74881869681344e+02°)	(-5.91351663445553e-04dB,-6.17346848857821e-01°)
1.15852375029603e+05	(-3.27194787633264e-02dB,1.74515823491524e+02°)	(-6.66799321367169e-04dB,-6.61923787621283e-01°)
1.24167501128531e+05	(-3.75391451055029e-02dB,1.74123883937920e+02°)	(-7.53464465141860e-04dB,-7.09681086427011e-01°)
1.33079432619005e+05	(-4.30690621193567e-02dB,1.73704273777226e+02°)	(-8.53014575684618e-04dB,-7.60848023643869e-01°)
1.42631004290436e+05	(-4.94128111751877e-02dB,1.73255106942904e+02°)	(-9.67364922630221e-04dB,-8.15670204704263e-01°)
1.52868125333390e+05	(-5.66887377888821e-02dB,1.72774384878448e+02°)	(-1.09871535679017e-03dB,-8.74410728456832e-01°)
