Freq.	V(cold)	V(hot)
5.57152360509519e+02	(3.68106851285247e+01dB,1.74971327513339e+02°)	(3.65573884194544e+01dB,1.74811225599575e+02°)
5.97141114583556e+02	(3.68063376680106e+01dB,1.75306457437914e+02°)	(3.65527590909333e+01dB,1.75156981210595e+02°)
6.39999999999999e+02	(3.68025494361843e+01dB,1.75619434611721e+02°)	(3.65487250045479e+01dB,1.75479905766966e+02°)
6.85935016023227e+02	(3.67992488951223e+01dB,1.75911687539105e+02°)	(3.65452100746956e+01dB,1.75781468136008e+02°)
7.35166947198101e+02	(3.67963735622176e+01dB,1.76184559194668e+02°)	(3.65421478325130e+01dB,1.76063049961741e+02°)
7.87932424540745e+02	(3.67938688871187e+01dB,1.76439310878846e+02°)	(3.65394802366391e+01dB,1.76325949456079e+02°)
8.44485062894651e+02	(3.67916872623298e+01dB,1.76677126156129e+02°)	(3.65371566246721e+01dB,1.76571385309044e+02°)
9.05096679918779e+02	(3.67897871529450e+01dB,1.76899114809348e+02°)	(3.65351327902397e+01dB,1.76800500643495e+02°)
9.70058602566653e+02	(3.67881323322198e+01dB,1.77106316758495e+02°)	(3.65333701718247e+01dB,1.77014366956325e+02°)
1.03968306733598e+03	(3.67866912109028e+01dB,1.77299705904879e+02°)	(3.65318351407158e+01dB,1.77213988001629e+02°)
1.11430472101904e+03	(3.67854362494294e+01dB,1.77480193871402e+02°)	(3.65304983766524e+01dB,1.77400303582315e+02°)
1.19428222916711e+03	(3.67843434431973e+01dB,1.77648633617793e+02°)	(3.65293343208840e+01dB,1.77574193225554e+02°)
1.28000000000000e+03	(3.67833918721839e+01dB,1.77805822916154e+02°)	(3.65283206974368e+01dB,1.77736479724621e+02°)
1.37187003204645e+03	(3.67825633071246e+01dB,1.77952507677258e+02°)	(3.65274380943815e+01dB,1.77887932535397e+02°)
1.47033389439620e+03	(3.67818418653480e+01dB,1.78089385122167e+02°)	(3.65266695978072e+01dB,1.78029271020353e+02°)
1.57586484908149e+03	(3.67812137101577e+01dB,1.78217106796890e+02°)	(3.65260004720390e+01dB,1.78161167536380e+02°)
1.68897012578930e+03	(3.67806667883651e+01dB,1.78336281430263e+02°)	(3.65254178803869e+01dB,1.78284250365631e+02°)
1.81019335983756e+03	(3.67801906012167e+01dB,1.78447477637141e+02°)	(3.65249106413873e+01dB,1.78399106490648e+02°)
1.94011720513331e+03	(3.67797760045337e+01dB,1.78551226470375e+02°)	(3.65244690161011e+01dB,1.78506284216687e+02°)
2.07936613467196e+03	(3.67794150343866e+01dB,1.78648023826086e+02°)	(3.65240845225672e+01dB,1.78606295645324e+02°)
2.22860944203807e+03	(3.67791007550803e+01dB,1.78738332707503e+02°)	(3.65237497739888e+01dB,1.78699619004304e+02°)
2.38856445833422e+03	(3.67788271266213e+01dB,1.78822585353093e+02°)	(3.65234583376483e+01dB,1.78786700839197e+02°)
2.55999999999999e+03	(3.67785888891915e+01dB,1.78901185235032e+02°)	(3.65232046119211e+01dB,1.78867958072776e+02°)
2.74374006409290e+03	(3.67783814624612e+01dB,1.78974508934221e+02°)	(3.65229837190841e+01dB,1.78943779938302e+02°)
2.94066778879240e+03	(3.67782008578461e+01dB,1.79042907898089e+02°)	(3.65227914119058e+01dB,1.79014529792945e+02°)
3.15172969816298e+03	(3.67780436020527e+01dB,1.79106710087377e+02°)	(3.65226239922562e+01dB,1.79080546817593e+02°)
3.37794025157860e+03	(3.67779066704647e+01dB,1.79166221517992e+02°)	(3.65224782401976e+01dB,1.79142147609202e+02°)
3.62038671967512e+03	(3.67777874291067e+01dB,1.79221727703846e+02°)	(3.65223513522144e+01dB,1.79199627671703e+02°)
3.88023441026661e+03	(3.67776835840831e+01dB,1.79273495006408e+02°)	(3.65222408874067e+01dB,1.79253262811299e+02°)
4.15873226934392e+03	(3.67775931375293e+01dB,1.79321771896473e+02°)	(3.65221447206263e+01dB,1.79303310441786e+02°)
4.45721888407614e+03	(3.67775143492348e+01dB,1.79366790133405e+02°)	(3.65220610016607e+01dB,1.79350010805280e+02°)
4.77712891666844e+03	(3.67774457032075e+01dB,1.79408765866883e+02°)	(3.65219881196882e+01dB,1.79393588113504e+02°)
5.11999999999999e+03	(3.67773858785385e+01dB,1.79447900665909e+02°)	(3.65219246723231e+01dB,1.79434251614558e+02°)
5.48748012818581e+03	(3.67773337240110e+01dB,1.79484382479597e+02°)	(3.65218694386616e+01dB,1.79472196589793e+02°)
5.88133557758480e+03	(3.67772882359672e+01dB,1.79518386534014e+02°)	(3.65218213558104e+01dB,1.79507605285236e+02°)
6.30345939632596e+03	(3.67772485390092e+01dB,1.79550076169103e+02°)	(3.65217794984504e+01dB,1.79540647781692e+02°)
6.75588050315720e+03	(3.67772138691637e+01dB,1.79579603619469e+02°)	(3.65217430610419e+01dB,1.79571482807492e+02°)
7.24077343935023e+03	(3.67771835591882e+01dB,1.79607110742616e+02°)	(3.65217113423328e+01dB,1.79600258497549e+02°)
7.76046882053322e+03	(3.67771570257356e+01dB,1.79632729697964e+02°)	(3.65216837318694e+01dB,1.79627113102229e+02°)
8.31746453868783e+03	(3.67771337581330e+01dB,1.79656583579796e+02°)	(3.65216596982542e+01dB,1.79652175649306e+02°)
8.91443776815229e+03	(3.67771133085563e+01dB,1.79678787007082e+02°)	(3.65216387789217e+01dB,1.79675566562051e+02°)
9.55425783333688e+03	(3.67770952834143e+01dB,1.79699446672932e+02°)	(3.65216205712399e+01dB,1.79697398236371e+02°)
1.02400000000000e+04	(3.67770793357758e+01dB,1.79718661856255e+02°)	(3.65216047247628e+01dB,1.79717775579663e+02°)
1.09749602563716e+04	(3.67770651586941e+01dB,1.79736524898034e+02°)	(3.65215909344870e+01dB,1.79736796513944e+02°)
1.17626711551696e+04	(3.67770524793005e+01dB,1.79753121644469e+02°)	(3.65215789349832e+01dB,1.79754552445605e+02°)
1.26069187926519e+04	(3.67770410535542e+01dB,1.79768531859086e+02°)	(3.65215684952878e+01dB,1.79771128704019e+02°)
1.35117610063144e+04	(3.67770306615463e+01dB,1.79782829605769e+02°)	(3.65215594144586e+01dB,1.79786604951085e+02°)
1.44815468787005e+04	(3.67770211032689e+01dB,1.79796083604546e+02°)	(3.65215515177074e+01dB,1.79801055563628e+02°)
1.55209376410664e+04	(3.67770121947671e+01dB,1.79808357561826e+02°)	(3.65215446530365e+01dB,1.79814549990501e+02°)
1.66349290773757e+04	(3.67770037646005e+01dB,1.79819710476672e+02°)	(3.65215386883130e+01dB,1.79827153086067e+02°)
1.78288755363046e+04	(3.67769956505464e+01dB,1.79830196924589e+02°)	(3.65215335087257e+01dB,1.79838925421658e+02°)
1.91085156666738e+04	(3.67769876964807e+01dB,1.79839867320195e+02°)	(3.65215290145760e+01dB,1.79849923576499e+02°)
2.04799999999999e+04	(3.67769797493774e+01dB,1.79848768160056e+02°)	(3.65215251193583e+01dB,1.79860200409480e+02°)
2.19499205127432e+04	(3.67769716563697e+01dB,1.79856942246873e+02°)	(3.65215217480953e+01dB,1.79869805313080e+02°)
2.35253423103392e+04	(3.67769632618155e+01dB,1.79864428896130e+02°)	(3.65215188358950e+01dB,1.79878784450653e+02°)
2.52138375853038e+04	(3.67769544043122e+01dB,1.79871264126236e+02°)	(3.65215163267015e+01dB,1.79887180978221e+02°)
2.70235220126288e+04	(3.67769449136039e+01dB,1.79877480833128e+02°)	(3.65215141722161e+01dB,1.79895035251817e+02°)
2.89630937574009e+04	(3.67769346073232e+01dB,1.79883108950226e+02°)	(3.65215123309678e+01dB,1.79902385021393e+02°)
3.10418752821329e+04	(3.67769232875051e+01dB,1.79888175594608e+02°)	(3.65215107675146e+01dB,1.79909265612209e+02°)
3.32698581547513e+04	(3.67769107368090e+01dB,1.79892705200189e+02°)	(3.65215094517620e+01dB,1.79915710094577e+02°)
3.56577510726091e+04	(3.67768967143776e+01dB,1.79896719638675e+02°)	(3.65215083583831e+01dB,1.79921749442769e+02°)
3.82170313333475e+04	(3.67768809512573e+01dB,1.79900238329025e+02°)	(3.65215074663315e+01dB,1.79927412683858e+02°)
4.09599999999999e+04	(3.67768631452950e+01dB,1.79903278336117e+02°)	(3.65215067584358e+01dB,1.79932727037202e+02°)
4.38998410254864e+04	(3.67768429554202e+01dB,1.79905854459353e+02°)	(3.65215062210693e+01dB,1.79937718045241e+02°)
4.70506846206784e+04	(3.67768199952087e+01dB,1.79907979311865e+02°)	(3.65215058438878e+01dB,1.79942409696229e+02°)
5.04276751706076e+04	(3.67767938256143e+01dB,1.79909663391090e+02°)	(3.65215056196300e+01dB,1.79946824539503e+02°)
5.40470440252576e+04	(3.67767639467417e+01dB,1.79910915141435e+02°)	(3.65215055439781e+01dB,1.79950983793824e+02°)
5.79261875148018e+04	(3.67767297885194e+01dB,1.79911741009881e+02°)	(3.65215056154742e+01dB,1.79954907449324e+02°)
6.20837505642657e+04	(3.67766907001153e+01dB,1.79912145495395e+02°)	(3.65215058354925e+01dB,1.79958614363534e+02°)
6.65397163095026e+04	(3.67766459379207e+01dB,1.79912131193184e+02°)	(3.65215062082654e+01dB,1.79962122351971e+02°)
7.13155021452182e+04	(3.67765946519110e+01dB,1.79911698834921e+02°)	(3.65215067409647e+01dB,1.79965448273690e+02°)
7.64340626666950e+04	(3.67765358701703e+01dB,1.79910847326291e+02°)	(3.65215074438394e+01dB,1.79968608112242e+02°)
8.19199999999997e+04	(3.67764684813506e+01dB,1.79909573783431e+02°)	(3.65215083304128e+01dB,1.79971617052385e+02°)
8.77996820509728e+04	(3.67763912148133e+01dB,1.79907873570131e+02°)	(3.65215094177420e+01dB,1.79974489552957e+02°)
9.41013692413567e+04	(3.67763026181875e+01dB,1.79905740338011e+02°)	(3.65215107267459e+01dB,1.79977239416210e+02°)
1.00855350341215e+05	(3.67762010320614e+01dB,1.79903166072369e+02°)	(3.65215122826068e+01dB,1.79979879853970e+02°)
1.08094088050515e+05	(3.67760845615164e+01dB,1.79900141146877e+02°)	(3.65215141152539e+01dB,1.79982423550910e+02°)
1.15852375029603e+05	(3.67759510442102e+01dB,1.79896654390991e+02°)	(3.65215162599382e+01dB,1.79984882725235e+02°)
1.24167501128531e+05	(3.67757980147262e+01dB,1.79892693174684e+02°)	(3.65215187579090e+01dB,1.79987269187065e+02°)
1.33079432619005e+05	(3.67756226649336e+01dB,1.79888243516002e+02°)	(3.65215216572051e+01dB,1.79989594394777e+02°)
1.42631004290436e+05	(3.67754218001531e+01dB,1.79883290218015e+02°)	(3.65215250135763e+01dB,1.79991869509553e+02°)
1.52868125333390e+05	(3.67751917910032e+01dB,1.79877817042909e+02°)	(3.65215288915518e+01dB,1.79994105448389e+02°)
1.63839999999999e+05	(3.67749285209255e+01dB,1.79871806932343e+02°)	(3.65215333656767e+01dB,1.79996312935773e+02°)
1.75599364101946e+05	(3.67746273295678e+01dB,1.79865242284687e+02°)	(3.65215385219384e+01dB,1.79998502554259e+02°)
1.88202738482713e+05	(3.67742829524460e+01dB,1.79858105301349e+02°)	(3.65215444594121e+01dB,-1.79999315205861e+02°)
2.01710700682430e+05	(3.67738894576451e+01dB,1.79850378416114e+02°)	(3.65215512921537e+01dB,-1.79997129897611e+02°)
2.16188176101030e+05	(3.67734401807641e+01dB,1.79842044822984e+02°)	(3.65215591513774e+01dB,-1.79994931068929e+02°)
2.31704750059207e+05	(3.67729276598799e+01dB,1.79833089119471e+02°)	(3.65215681879574e+01dB,-1.79992708214653e+02°)
2.48335002257063e+05	(3.67723435730423e+01dB,1.79823498083329e+02°)	(3.65215785753009e+01dB,-1.79990450728779e+02°)
2.66158865238010e+05	(3.67716786817109e+01dB,1.79813261600978e+02°)	(3.65215905126444e+01dB,-1.79988147856843e+02°)
2.85262008580873e+05	(3.67709227846430e+01dB,1.79802373765089e+02°)	(3.65216042288341e+01dB,-1.79985788648385e+02°)
3.05736250666780e+05	(3.67700646880253e+01dB,1.79790834156283e+02°)	(3.65216199866590e+01dB,-1.79983361909407e+02°)
3.27679999999999e+05	(3.67690921991025e+01dB,1.79778649319059e+02°)	(3.65216380878142e+01dB,-1.79980856154843e+02°)
3.51198728203891e+05	(3.67679921521327e+01dB,1.79765834434106e+02°)	(3.65216588785830e+01dB,-1.79978259561052e+02°)
3.76405476965427e+05	(3.67667504770952e+01dB,1.79752415177119e+02°)	(3.65216827563378e+01dB,-1.79975559918462e+02°)
4.03421401364860e+05	(3.67653523230314e+01dB,1.79738429737331e+02°)	(3.65217101769713e+01dB,-1.79972744584505e+02°)
4.32376352202060e+05	(3.67637822489548e+01dB,1.79723930946351e+02°)	(3.65217416633858e+01dB,-1.79969800437139e+02°)
4.63409500118414e+05	(3.67620244955976e+01dB,1.79708988439224e+02°)	(3.65217778151812e+01dB,-1.79966713829307e+02°)
4.96670004514125e+05	(3.67600633504231e+01dB,1.79693690735177e+02°)	(3.65218193197002e+01dB,-1.79963470544857e+02°)
5.32317730476020e+05	(3.67578836158186e+01dB,1.79678147086696e+02°)	(3.65218669646055e+01dB,-1.79960055756600e+02°)
5.70524017161745e+05	(3.67554711856557e+01dB,1.79662488905277e+02°)	(3.65219216521811e+01dB,-1.79956453987393e+02°)
6.11472501333559e+05	(3.67528137279888e+01dB,1.79646870535338e+02°)	(3.65219844155694e+01dB,-1.79952649075378e+02°)
6.55359999999997e+05	(3.67499014613002e+01dB,1.79631469121330e+02°)	(3.65220564371713e+01dB,-1.79948624144810e+02°)
7.02397456407782e+05	(3.67467279985158e+01dB,1.79616483306046e+02°)	(3.65221390694523e+01dB,-1.79944361584279e+02°)
7.52810953930853e+05	(3.67432912177417e+01dB,1.79602130520393e+02°)	(3.65222338584113e+01dB,-1.79939843034570e+02°)
8.06842802729721e+05	(3.67395941028073e+01dB,1.79588642686009e+02°)	(3.65223425699731e+01dB,-1.79935049388905e+02°)
8.64752704404120e+05	(3.67356454825630e+01dB,1.79576260257902e+02°)	(3.65224672195678e+01dB,-1.79929960808984e+02°)
9.26819000236827e+05	(3.67314605884890e+01dB,1.79565224684832e+02°)	(3.65226101051458e+01dB,-1.79924556760914e+02°)
9.93340009028250e+05	(3.67270613487845e+01dB,1.79555769550658e+02°)	(3.65227738438482e+01dB,-1.79918816076032e+02°)
1.00000000000000e+06	(3.67266269148240e+01dB,1.79554949731574e+02°)	(3.65227908378232e+01dB,-1.79918244057841e+02°)
