Freq.	V(cold)/I(cold)	V(hot)/I(hot)
1.00000000000000e+00	(8.37015343017015e+01dB,1.10627254731354e+02°)	(8.68056111928855e+01dB,1.33363069209286e+02°)
1.00695555005672e+00	(8.36467201184497e+01dB,1.10806393948533e+02°)	(8.67738938357928e+01dB,1.33561350026412e+02°)
1.01395947979003e+00	(8.35920781529073e+01dB,1.10986555007806e+02°)	(8.67423846099077e+01dB,1.33759699775892e+02°)
1.02101212570719e+00	(8.35376103550505e+01dB,1.11167731947158e+02°)	(8.67110836500543e+01dB,1.33958108969317e+02°)
1.02811382665607e+00	(8.34833186649335e+01dB,1.11349918609648e+02°)	(8.66799910711579e+01dB,1.34156568104021e+02°)
1.03526492384138e+00	(8.34292050121246e+01dB,1.11533108644264e+02°)	(8.66491069682012e+01dB,1.34355067665353e+02°)
1.04246576084112e+00	(8.33752713151455e+01dB,1.11717295506861e+02°)	(8.66184314161866e+01dB,1.34553598128945e+02°)
1.04971668362307e+00	(8.33215194809125e+01dB,1.11902472461184e+02°)	(8.65879644701093e+01dB,1.34752149963007e+02°)
1.05701804056138e+00	(8.32679514041819e+01dB,1.12088632579964e+02°)	(8.65577061649339e+01dB,1.34950713630600e+02°)
1.06437018245336e+00	(8.32145689669969e+01dB,1.12275768746102e+02°)	(8.65276565155831e+01dB,1.35149279591938e+02°)
1.07177346253629e+00	(8.31613740381402e+01dB,1.12463873653933e+02°)	(8.64978155169304e+01dB,1.35347838306669e+02°)
1.07922823650443e+00	(8.31083684725893e+01dB,1.12652939810559e+02°)	(8.64681831438033e+01dB,1.35546380236175e+02°)
1.08673486252606e+00	(8.30555541109761e+01dB,1.12842959537274e+02°)	(8.64387593509920e+01dB,1.35744895845853e+02°)
1.09429370126074e+00	(8.30029327790519e+01dB,1.13033924971062e+02°)	(8.64095440732671e+01dB,1.35943375607413e+02°)
1.10190511587661e+00	(8.29505062871559e+01dB,1.13225828066164e+02°)	(8.63805372254051e+01dB,1.36141810001159e+02°)
1.10956947206785e+00	(8.28982764296906e+01dB,1.13418660595736e+02°)	(8.63517387022201e+01dB,1.36340189518261e+02°)
1.11728713807222e+00	(8.28462449846003e+01dB,1.13612414153568e+02°)	(8.63231483786050e+01dB,1.36538504663040e+02°)
1.12505848468881e+00	(8.27944137128578e+01dB,1.13807080155891e+02°)	(8.62947661095798e+01dB,1.36736745955229e+02°)
1.13288388529580e+00	(8.27427843579549e+01dB,1.14002649843241e+02°)	(8.62665917303453e+01dB,1.36934903932221e+02°)
1.14076371586843e+00	(8.26913586454007e+01dB,1.14199114282412e+02°)	(8.62386250563482e+01dB,1.37132969151330e+02°)
1.14869835499704e+00	(8.26401382822250e+01dB,1.14396464368469e+02°)	(8.62108658833503e+01dB,1.37330932192013e+02°)
1.15668818390529e+00	(8.25891249564898e+01dB,1.14594690826836e+02°)	(8.61833139875079e+01dB,1.37528783658104e+02°)
1.16473358646846e+00	(8.25383203368072e+01dB,1.14793784215450e+02°)	(8.61559691254538e+01dB,1.37726514180001e+02°)
1.17283494923188e+00	(8.24877260718634e+01dB,1.14993734926985e+02°)	(8.61288310343941e+01dB,1.37924114416884e+02°)
1.18099266142953e+00	(8.24373437899528e+01dB,1.15194533191143e+02°)	(8.61018994322047e+01dB,1.38121575058871e+02°)
1.18920711500272e+00	(8.23871750985173e+01dB,1.15396169077007e+02°)	(8.60751740175393e+01dB,1.38318886829181e+02°)
1.19747870461893e+00	(8.23372215836945e+01dB,1.15598632495458e+02°)	(8.60486544699439e+01dB,1.38516040486278e+02°)
1.20580782769076e+00	(8.22874848098745e+01dB,1.15801913201662e+02°)	(8.60223404499759e+01dB,1.38713026825982e+02°)
1.21419488439505e+00	(8.22379663192646e+01dB,1.16006000797606e+02°)	(8.59962315993339e+01dB,1.38909836683569e+02°)
1.22264027769207e+00	(8.21886676314624e+01dB,1.16210884734699e+02°)	(8.59703275409906e+01dB,1.39106460935848e+02°)
1.23114441334492e+00	(8.21395902430380e+01dB,1.16416554316440e+02°)	(8.59446278793341e+01dB,1.39302890503205e+02°)
1.23970769993899e+00	(8.20907356271254e+01dB,1.16622998701122e+02°)	(8.59191322003161e+01dB,1.39499116351636e+02°)
1.24833054890161e+00	(8.20421052330226e+01dB,1.16830206904614e+02°)	(8.58938400716057e+01dB,1.39695129494744e+02°)
1.25701337452183e+00	(8.19937004858013e+01dB,1.17038167803181e+02°)	(8.58687510427491e+01dB,1.39890920995712e+02°)
1.26575659397028e+00	(8.19455227859264e+01dB,1.17246870136361e+02°)	(8.58438646453370e+01dB,1.40086481969251e+02°)
1.27456062731927e+00	(8.18975735088843e+01dB,1.17456302509893e+02°)	(8.58191803931767e+01dB,1.40281803583516e+02°)
1.28342589756291e+00	(8.18498540048227e+01dB,1.17666453398693e+02°)	(8.57946977824701e+01dB,1.40476877061991e+02°)
1.29235283063750e+00	(8.18023655981987e+01dB,1.17877311149877e+02°)	(8.57704162919986e+01dB,1.40671693685347e+02°)
1.30134185544194e+00	(8.17551095874381e+01dB,1.18088863985827e+02°)	(8.57463353833129e+01dB,1.40866244793269e+02°)
1.31039340385837e+00	(8.17080872446050e+01dB,1.18301100007307e+02°)	(8.57224545009277e+01dB,1.41060521786248e+02°)
1.31950791077290e+00	(8.16612998150812e+01dB,1.18514007196613e+02°)	(8.56987730725231e+01dB,1.41254516127335e+02°)
1.32868581409652e+00	(8.16147485172571e+01dB,1.18727573420771e+02°)	(8.56752905091500e+01dB,1.41448219343874e+02°)
1.33792755478612e+00	(8.15684345422325e+01dB,1.18941786434767e+02°)	(8.56520062054411e+01dB,1.41641623029188e+02°)
1.34723357686569e+00	(8.15223590535290e+01dB,1.19156633884817e+02°)	(8.56289195398267e+01dB,1.41834718844236e+02°)
1.35660432744768e+00	(8.14765231868124e+01dB,1.19372103311671e+02°)	(8.56060298747556e+01dB,1.42027498519231e+02°)
1.36604025675440e+00	(8.14309280496271e+01dB,1.19588182153952e+02°)	(8.55833365569189e+01dB,1.42219953855221e+02°)
1.37554181813975e+00	(8.13855747211408e+01dB,1.19804857751522e+02°)	(8.55608389174814e+01dB,1.42412076725638e+02°)
1.38510946811093e+00	(8.13404642519015e+01dB,1.20022117348887e+02°)	(8.55385362723129e+01dB,1.42603859077798e+02°)
1.39474366635041e+00	(8.12955976636039e+01dB,1.20239948098612e+02°)	(8.55164279222289e+01dB,1.42795292934378e+02°)
1.40444487573800e+00	(8.12509759488695e+01dB,1.20458337064786e+02°)	(8.54945131532290e+01dB,1.42986370394834e+02°)
1.41421356237310e+00	(8.12066000710365e+01dB,1.20677271226487e+02°)	(8.54727912367450e+01dB,1.43177083636801e+02°)
1.42405019559708e+00	(8.11624709639615e+01dB,1.20896737481291e+02°)	(8.54512614298879e+01dB,1.43367424917436e+02°)
1.43395524801583e+00	(8.11185895318330e+01dB,1.21116722648779e+02°)	(8.54299229757016e+01dB,1.43557386574729e+02°)
1.44392919552250e+00	(8.10749566489966e+01dB,1.21337213474087e+02°)	(8.54087751034179e+01dB,1.43746961028774e+02°)
1.45397251732032e+00	(8.10315731597913e+01dB,1.21558196631450e+02°)	(8.53878170287144e+01dB,1.43936140782990e+02°)
1.46408569594563e+00	(8.09884398783975e+01dB,1.21779658727780e+02°)	(8.53670479539773e+01dB,1.44124918425313e+02°)
1.47426921729111e+00	(8.09455575886977e+01dB,1.22001586306242e+02°)	(8.53464670685639e+01dB,1.44313286629336e+02°)
1.48452357062906e+00	(8.09029270441467e+01dB,1.22223965849848e+02°)	(8.53260735490707e+01dB,1.44501238155416e+02°)
1.49484924863494e+00	(8.08605489676562e+01dB,1.22446783785066e+02°)	(8.53058665596015e+01dB,1.44688765851730e+02°)
1.50524674741107e+00	(8.08184240514884e+01dB,1.22670026485423e+02°)	(8.52858452520386e+01dB,1.44875862655295e+02°)
1.51571656651040e+00	(8.07765529571636e+01dB,1.22893680275128e+02°)	(8.52660087663166e+01dB,1.45062521592945e+02°)
1.52625920896057e+00	(8.07349363153778e+01dB,1.23117731432690e+02°)	(8.52463562306958e+01dB,1.45248735782261e+02°)
1.53687518128802e+00	(8.06935747259325e+01dB,1.23342166194538e+02°)	(8.52268867620407e+01dB,1.45434498432465e+02°)
1.54756499354240e+00	(8.06524687576767e+01dB,1.23566970758651e+02°)	(8.52075994660970e+01dB,1.45619802845271e+02°)
1.55832915932101e+00	(8.06116189484592e+01dB,1.23792131288171e+02°)	(8.51884934377705e+01dB,1.45804642415682e+02°)
1.56916819579351e+00	(8.05710258050936e+01dB,1.24017633915031e+02°)	(8.51695677614084e+01dB,1.45989010632764e+02°)
1.58008262372676e+00	(8.05306898033341e+01dB,1.24243464743563e+02°)	(8.51508215110815e+01dB,1.46172901080365e+02°)
1.59107296750985e+00	(8.04906113878634e+01dB,1.24469609854107e+02°)	(8.51322537508637e+01dB,1.46356307437785e+02°)
1.60213975517925e+00	(8.04507909722907e+01dB,1.24696055306606e+02°)	(8.51138635351188e+01dB,1.46539223480429e+02°)
1.61328351844426e+00	(8.04112289391627e+01dB,1.24922787144205e+02°)	(8.50956499087798e+01dB,1.46721643080386e+02°)
1.62450479271248e+00	(8.03719256399845e+01dB,1.25149791396819e+02°)	(8.50776119076361e+01dB,1.46903560206997e+02°)
