Freq.	V(out)
1.00000000000000e+00	(4.70026177353263e+00dB,7.05662614151166e+01°)
1.00695555005672e+00	(4.74841116104239e+00dB,7.03329668095359e+01°)
1.01395947979003e+00	(4.79638390414347e+00dB,7.00994119182809e+01°)
1.02101212570719e+00	(4.84417903360457e+00dB,6.98655985691594e+01°)
1.02811382665607e+00	(4.89179558109447e+00dB,6.96315287159612e+01°)
1.03526492384138e+00	(4.93923257940625e+00dB,6.93972044389165e+01°)
1.04246576084112e+00	(4.98648906295205e+00dB,6.91626279443848e+01°)
1.04971668362307e+00	(5.03356406808575e+00dB,6.89278015657306e+01°)
1.05701804056138e+00	(5.08045663341955e+00dB,6.86927277626377e+01°)
1.06437018245336e+00	(5.12716580025261e+00dB,6.84574091213988e+01°)
1.07177346253629e+00	(5.17369061285050e+00dB,6.82218483556549e+01°)
1.07922823650443e+00	(5.22003011891487e+00dB,6.79860483047883e+01°)
1.08673486252606e+00	(5.26618336993034e+00dB,6.77500119354626e+01°)
1.09429370126074e+00	(5.31214942141651e+00dB,6.75137423407858e+01°)
1.10190511587661e+00	(5.35792733347806e+00dB,6.72772427394620e+01°)
1.10956947206785e+00	(5.40351617103708e+00dB,6.70405164764555e+01°)
1.11728713807222e+00	(5.44891500428223e+00dB,6.68035670224183e+01°)
1.12505848468881e+00	(5.49412290889849e+00dB,6.65663979733694e+01°)
1.13288388529580e+00	(5.53913896683131e+00dB,6.63290130494613e+01°)
1.14076371586843e+00	(5.58396226599934e+00dB,6.60914160963587e+01°)
1.14869835499704e+00	(5.62859190130657e+00dB,6.58536110825234e+01°)
1.15668818390529e+00	(5.67302697460394e+00dB,6.56156021003835e+01°)
1.16473358646846e+00	(5.71726659523766e+00dB,6.53773933648146e+01°)
1.17283494923188e+00	(5.76130988044439e+00dB,6.51389892124882e+01°)
1.18099266142953e+00	(5.80515595548144e+00dB,6.49003941015539e+01°)
1.18920711500272e+00	(5.84880395430050e+00dB,6.46616126108293e+01°)
1.19747870461893e+00	(5.89225301960857e+00dB,6.44226494385125e+01°)
1.20580782769076e+00	(5.93550230357263e+00dB,6.41835094012681e+01°)
1.21419488439505e+00	(5.97855096777898e+00dB,6.39441974342215e+01°)
1.22264027769207e+00	(6.02139818387992e+00dB,6.37047185890491e+01°)
1.23114441334492e+00	(6.06404313390016e+00dB,6.34650780331654e+01°)
1.23970769993899e+00	(6.10648501049028e+00dB,6.32252810485779e+01°)
1.24833054890161e+00	(6.14872301725163e+00dB,6.29853330311452e+01°)
1.25701337452183e+00	(6.19075636935197e+00dB,6.27452394887317e+01°)
1.26575659397028e+00	(6.23258429348946e+00dB,6.25050060406329e+01°)
1.27456062731927e+00	(6.27420602844613e+00dB,6.22646384158627e+01°)
1.28342589756291e+00	(6.31562082542313e+00dB,6.20241424517128e+01°)
1.29235283063750e+00	(6.35682794828928e+00dB,6.17835240927625e+01°)
1.30134185544194e+00	(6.39782667396284e+00dB,6.15427893891528e+01°)
1.31039340385837e+00	(6.43861629266801e+00dB,6.13019444950177e+01°)
1.31950791077290e+00	(6.47919610842499e+00dB,6.10609956671705e+01°)
1.32868581409652e+00	(6.51956543904506e+00dB,6.08199492636387e+01°)
1.33792755478612e+00	(6.55972361673805e+00dB,6.05788117414627e+01°)
1.34723357686569e+00	(6.59966998826602e+00dB,6.03375896556877e+01°)
1.35660432744768e+00	(6.63940391526159e+00dB,6.00962896569606e+01°)
1.36604025675440e+00	(6.67892477457838e+00dB,5.98549184905032e+01°)
1.37554181813975e+00	(6.71823195850434e+00dB,5.96134829935786e+01°)
1.38510946811093e+00	(6.75732487501066e+00dB,5.93719900940826e+01°)
1.39474366635041e+00	(6.79620294809173e+00dB,5.91304468086292e+01°)
1.40444487573800e+00	(6.83486561802232e+00dB,5.88888602406490e+01°)
1.41421356237310e+00	(6.87331234164308e+00dB,5.86472375780313e+01°)
1.42405019559708e+00	(6.91154259255746e+00dB,5.84055860912632e+01°)
1.43395524801583e+00	(6.94955586134519e+00dB,5.81639131319225e+01°)
1.44392919552250e+00	(6.98735165598879e+00dB,5.79222261296544e+01°)
1.45397251732032e+00	(7.02492950181810e+00dB,5.76805325910206e+01°)
1.46408569594563e+00	(7.06228894202583e+00dB,5.74388400964303e+01°)
1.47426921729111e+00	(7.09942953769472e+00dB,5.71971562987030e+01°)
1.48452357062906e+00	(7.13635086808248e+00dB,5.69554889202791e+01°)
1.49484924863494e+00	(7.17305253081278e+00dB,5.67138457512569e+01°)
1.50524674741107e+00	(7.20953414213657e+00dB,5.64722346470593e+01°)
1.51571656651040e+00	(7.24579533694175e+00dB,5.62306635262651e+01°)
