Freq.	V(n011)/I(unbalanced)
1.00000000000000e+00	(8.52108173370583e+01dB,1.19127654858743e+02°)
1.00695555005672e+00	(8.51649521980611e+01dB,1.19296826274684e+02°)
1.01395947979003e+00	(8.51192390593593e+01dB,1.19466609809619e+02°)
1.02101212570719e+00	(8.50736790175604e+01dB,1.19637001692999e+02°)
1.02811382665607e+00	(8.50282731663120e+01dB,1.19807998054828e+02°)
1.03526492384138e+00	(8.49830225960478e+01dB,1.19979594925386e+02°)
1.04246576084112e+00	(8.49379283937306e+01dB,1.20151788234974e+02°)
1.04971668362307e+00	(8.48929916425939e+01dB,1.20324573813698e+02°)
1.05701804056138e+00	(8.48482134218798e+01dB,1.20497947391285e+02°)
1.06437018245336e+00	(8.48035948065755e+01dB,1.20671904596926e+02°)
1.07177346253629e+00	(8.47591368671476e+01dB,1.20846440959162e+02°)
1.07922823650443e+00	(8.47148406692740e+01dB,1.21021551905793e+02°)
1.08673486252606e+00	(8.46707072735738e+01dB,1.21197232763832e+02°)
1.09429370126074e+00	(8.46267377353362e+01dB,1.21373478759484e+02°)
1.10190511587661e+00	(8.45829331042464e+01dB,1.21550285018173e+02°)
1.10956947206785e+00	(8.45392944241111e+01dB,1.21727646564593e+02°)
1.11728713807222e+00	(8.44958227325815e+01dB,1.21905558322806e+02°)
1.12505848468881e+00	(8.44525190608761e+01dB,1.22084015116372e+02°)
1.13288388529580e+00	(8.44093844335006e+01dB,1.22263011668514e+02°)
1.14076371586843e+00	(8.43664198679691e+01dB,1.22442542602332e+02°)
1.14869835499704e+00	(8.43236263745216e+01dB,1.22622602441044e+02°)
1.15668818390529e+00	(8.42810049558429e+01dB,1.22803185608274e+02°)
1.16473358646846e+00	(8.42385566067797e+01dB,1.22984286428376e+02°)
1.17283494923188e+00	(8.41962823140574e+01dB,1.23165899126799e+02°)
1.18099266142953e+00	(8.41541830559966e+01dB,1.23348017830492e+02°)
1.18920711500272e+00	(8.41122598022294e+01dB,1.23530636568354e+02°)
1.19747870461893e+00	(8.40705135134152e+01dB,1.23713749271714e+02°)
1.20580782769076e+00	(8.40289451409572e+01dB,1.23897349774867e+02°)
1.21419488439505e+00	(8.39875556267185e+01dB,1.24081431815637e+02°)
1.22264027769207e+00	(8.39463459027393e+01dB,1.24265989035995e+02°)
1.23114441334492e+00	(8.39053168909539e+01dB,1.24451014982709e+02°)
1.23970769993899e+00	(8.38644695029086e+01dB,1.24636503108039e+02°)
1.24833054890161e+00	(8.38238046394810e+01dB,1.24822446770479e+02°)
1.25701337452183e+00	(8.37833231905997e+01dB,1.25008839235533e+02°)
1.26575659397028e+00	(8.37430260349653e+01dB,1.25195673676541e+02°)
1.27456062731927e+00	(8.37029140397732e+01dB,1.25382943175542e+02°)
1.28342589756291e+00	(8.36629880604374e+01dB,1.25570640724181e+02°)
1.29235283063750e+00	(8.36232489403165e+01dB,1.25758759224667e+02°)
1.30134185544194e+00	(8.35836975104409e+01dB,1.25947291490751e+02°)
1.31039340385837e+00	(8.35443345892433e+01dB,1.26136230248776e+02°)
1.31950791077290e+00	(8.35051609822895e+01dB,1.26325568138741e+02°)
1.32868581409652e+00	(8.34661774820139e+01dB,1.26515297715431e+02°)
1.33792755478612e+00	(8.34273848674557e+01dB,1.26705411449567e+02°)
1.34723357686569e+00	(8.33887839039987e+01dB,1.26895901729018e+02°)
1.35660432744768e+00	(8.33503753431141e+01dB,1.27086760860037e+02°)
1.36604025675440e+00	(8.33121599221063e+01dB,1.27277981068550e+02°)
1.37554181813975e+00	(8.32741383638613e+01dB,1.27469554501479e+02°)
1.38510946811093e+00	(8.32363113765997e+01dB,1.27661473228106e+02°)
1.39474366635041e+00	(8.31986796536329e+01dB,1.27853729241483e+02°)
1.40444487573800e+00	(8.31612438731223e+01dB,1.28046314459869e+02°)
1.41421356237310e+00	(8.31240046978436e+01dB,1.28239220728220e+02°)
1.42405019559708e+00	(8.30869627749547e+01dB,1.28432439819707e+02°)
1.43395524801583e+00	(8.30501187357679e+01dB,1.28625963437277e+02°)
1.44392919552250e+00	(8.30134731955265e+01dB,1.28819783215249e+02°)
1.45397251732032e+00	(8.29770267531865e+01dB,1.29013890720946e+02°)
1.46408569594563e+00	(8.29407799912020e+01dB,1.29208277456369e+02°)
1.47426921729111e+00	(8.29047334753171e+01dB,1.29402934859893e+02°)
1.48452357062906e+00	(8.28688877543616e+01dB,1.29597854308014e+02°)
1.49484924863494e+00	(8.28332433600524e+01dB,1.29793027117118e+02°)
1.50524674741107e+00	(8.27978008068006e+01dB,1.29988444545284e+02°)
1.51571656651040e+00	(8.27625605915230e+01dB,1.30184097794124e+02°)
1.52625920896057e+00	(8.27275231934618e+01dB,1.30379978010657e+02°)
1.53687518128802e+00	(8.26926890740067e+01dB,1.30576076289197e+02°)
1.54756499354240e+00	(8.26580586765256e+01dB,1.30772383673286e+02°)
1.55832915932101e+00	(8.26236324262006e+01dB,1.30968891157657e+02°)
