Freq.	V(out)
1.00000000000000e+00	(-6.93654896267755e+00dB,7.05682136525618e+01°)
1.00695555005672e+00	(-6.88839900663105e+00dB,7.03349304816250e+01°)
1.01395947979003e+00	(-6.84042569085002e+00dB,7.01013870733677e+01°)
1.02101212570719e+00	(-6.79262998474081e+00dB,6.98675852569783e+01°)
1.02811382665607e+00	(-6.74501285674688e+00dB,6.96335269853905e+01°)
1.03526492384138e+00	(-6.69757527386729e+00dB,6.93992143394298e+01°)
1.04246576084112e+00	(-6.65031820181508e+00dB,6.91646495256339e+01°)
1.04971668362307e+00	(-6.60324260429142e+00dB,6.89298348770160e+01°)
1.05701804056138e+00	(-6.55634944256678e+00dB,6.86947728537023e+01°)
1.06437018245336e+00	(-6.50963967552047e+00dB,6.84594660417871e+01°)
1.07177346253629e+00	(-6.46311425895568e+00dB,6.82239171553714e+01°)
1.07922823650443e+00	(-6.41677414495170e+00dB,6.79881290337192e+01°)
1.08673486252606e+00	(-6.37062028227544e+00dB,6.77521046436258e+01°)
1.09429370126074e+00	(-6.32465361534224e+00dB,6.75158470782922e+01°)
1.10190511587661e+00	(-6.27887508402623e+00dB,6.72793595560012e+01°)
1.10956947206785e+00	(-6.23328562351066e+00dB,6.70426454230729e+01°)
1.11728713807222e+00	(-6.18788616362783e+00dB,6.68057081491719e+01°)
1.12505848468881e+00	(-6.14267762862843e+00dB,6.65685513311275e+01°)
1.13288388529580e+00	(-6.09766093675152e+00dB,6.63311786889267e+01°)
1.14076371586843e+00	(-6.05283699991012e+00dB,6.60935940679464e+01°)
1.14869835499704e+00	(-6.00820672341226e+00dB,6.58558014376247e+01°)
1.15668818390529e+00	(-5.96377100532022e+00dB,6.56178048899896e+01°)
1.16473358646846e+00	(-5.91953073640676e+00dB,6.53796086399508e+01°)
1.17283494923188e+00	(-5.87548679945966e+00dB,6.51412170254208e+01°)
1.18099266142953e+00	(-5.83164006914909e+00dB,6.49026345027920e+01°)
1.18920711500272e+00	(-5.78799141171665e+00dB,6.46638656528552e+01°)
1.19747870461893e+00	(-5.74454168442677e+00dB,6.44249151731255e+01°)
1.20580782769076e+00	(-5.70129173509686e+00dB,6.41857878805737e+01°)
1.21419488439505e+00	(-5.65824240226141e+00dB,6.39464887102312e+01°)
1.22264027769207e+00	(-5.61539451430048e+00dB,6.37070227145395e+01°)
1.23114441334492e+00	(-5.57274888919431e+00dB,6.34673950608708e+01°)
1.23970769993899e+00	(-5.53030633432209e+00dB,6.32276110315584e+01°)
1.24833054890161e+00	(-5.48806764617432e+00dB,6.29876760222595e+01°)
1.25701337452183e+00	(-5.44603360953240e+00dB,6.27475955409679e+01°)
1.26575659397028e+00	(-5.40420499804813e+00dB,6.25073752083821e+01°)
1.27456062731927e+00	(-5.36258257256412e+00dB,6.22670207526290e+01°)
1.28342589756291e+00	(-5.32116708217712e+00dB,6.20265380111824e+01°)
1.29235283063750e+00	(-5.27995926296178e+00dB,6.17859329296843e+01°)
1.30134185544194e+00	(-5.23895983825183e+00dB,6.15452115577820e+01°)
1.31039340385837e+00	(-5.19816951756288e+00dB,6.13043800504720e+01°)
1.31950791077290e+00	(-5.15758899720303e+00dB,6.10634446644824e+01°)
1.32868581409652e+00	(-5.11721895924520e+00dB,6.08224117578176e+01°)
1.33792755478612e+00	(-5.07706007157698e+00dB,6.05812877885548e+01°)
1.34723357686569e+00	(-5.03711298751224e+00dB,6.03400793116768e+01°)
1.35660432744768e+00	(-4.99737834553059e+00dB,6.00987929784366e+01°)
1.36604025675440e+00	(-4.95785676865569e+00dB,5.98574355334989e+01°)
1.37554181813975e+00	(-4.91854886487535e+00dB,5.96160138155905e+01°)
1.38510946811093e+00	(-4.87945522608668e+00dB,5.93745347520014e+01°)
1.39474366635041e+00	(-4.84057642852307e+00dB,5.91330053607845e+01°)
1.40444487573800e+00	(-4.80191303190861e+00dB,5.88914327450040e+01°)
1.41421356237310e+00	(-4.76346557933786e+00dB,5.86498240928912e+01°)
1.42405019559708e+00	(-4.72523459741665e+00dB,5.84081866753632e+01°)
1.43395524801583e+00	(-4.68722059560186e+00dB,5.81665278445466e+01°)
1.44392919552250e+00	(-4.64942406596298e+00dB,5.79248550305457e+01°)
1.45397251732032e+00	(-4.61184548316912e+00dB,5.76831757400731e+01°)
1.46408569594563e+00	(-4.57448530418080e+00dB,5.74414975539851e+01°)
1.47426921729111e+00	(-4.53734396802807e+00dB,5.71998281260525e+01°)
1.48452357062906e+00	(-4.50042189529545e+00dB,5.69581751784587e+01°)
1.49484924863494e+00	(-4.46371948869474e+00dB,5.67165465025813e+01°)
1.50524674741107e+00	(-4.42723713182944e+00dB,5.64749499533610e+01°)
1.51571656651040e+00	(-4.39097518999613e+00dB,5.62333934505358e+01°)
1.52625920896057e+00	(-4.35493400934553e+00dB,5.59918849735309e+01°)
1.53687518128802e+00	(-4.31911391697310e+00dB,5.57504325605807e+01°)
1.54756499354240e+00	(-4.28351522060832e+00dB,5.55090443047243e+01°)
1.55832915932101e+00	(-4.24813820859312e+00dB,5.52677283544978e+01°)
1.56916819579351e+00	(-4.21298314985585e+00dB,5.50264929072952e+01°)
1.58008262372676e+00	(-4.17805029331597e+00dB,5.47853462104552e+01°)
1.59107296750985e+00	(-4.14333986823762e+00dB,5.45442965572201e+01°)
1.60213975517925e+00	(-4.10885208392842e+00dB,5.43033522852785e+01°)
1.61328351844426e+00	(-4.07458712938470e+00dB,5.40625217714563e+01°)
1.62450479271248e+00	(-4.04054517374006e+00dB,5.38218134328182e+01°)
1.63580411711557e+00	(-4.00672636539967e+00dB,5.35812357227694e+01°)
1.64718203453516e+00	(-3.97313083288675e+00dB,5.33407971268454e+01°)
1.65863909162889e+00	(-3.93975868374971e+00dB,5.31005061621508e+01°)
1.67017583885675e+00	(-3.90661000536464e+00dB,5.28603713750314e+01°)
1.68179283050744e+00	(-3.87368486434298e+00dB,5.26204013365849e+01°)
1.69349062472506e+00	(-3.84098330677584e+00dB,5.23806046419381e+01°)
1.70526978353592e+00	(-3.80850535775205e+00dB,5.21409899061332e+01°)
1.71713087287552e+00	(-3.77625102194967e+00dB,5.19015657632767e+01°)
1.72907446261574e+00	(-3.74422028303228e+00dB,5.16623408618919e+01°)
1.74110112659226e+00	(-3.71241310405840e+00dB,5.14233238647150e+01°)
1.75321144263208e+00	(-3.68082942726802e+00dB,5.11845234438350e+01°)
1.76540599258132e+00	(-3.64946917382107e+00dB,5.09459482789311e+01°)
1.77768536233315e+00	(-3.61833224448336e+00dB,5.07076070552608e+01°)
1.79005014185596e+00	(-3.58741851906471e+00dB,5.04695084619281e+01°)
1.80250092522167e+00	(-3.55672785651981e+00dB,5.02316611853549e+01°)
1.81503831063433e+00	(-3.52626009522680e+00dB,4.99940739119561e+01°)
1.82766290045881e+00	(-3.49601505276262e+00dB,4.97567553215528e+01°)
1.84037530124976e+00	(-3.46599252616506e+00dB,4.95197140870945e+01°)
1.85317612378075e+00	(-3.43619229199901e+00dB,4.92829588712360e+01°)
1.86606598307363e+00	(-3.40661410591519e+00dB,4.90464983239203e+01°)
1.87904549842804e+00	(-3.37725770355303e+00dB,4.88103410799392e+01°)
1.89211529345120e+00	(-3.34812280018787e+00dB,4.85744957571520e+01°)
1.90527599608789e+00	(-3.31920909046393e+00dB,4.83389709524223e+01°)
1.91852823865054e+00	(-3.29051624931161e+00dB,4.81037752399275e+01°)
1.93187265784970e+00	(-3.26204393117281e+00dB,4.78689171709108e+01°)
1.94530989482459e+00	(-3.23379177093052e+00dB,4.76344052672834e+01°)
1.95884059517387e+00	(-3.20575938346405e+00dB,4.74002480220513e+01°)
1.97246540898673e+00	(-3.17794636405551e+00dB,4.71664538967915e+01°)
1.98618499087409e+00	(-3.15035228819809e+00dB,4.69330313170663e+01°)
