Freq.	V(out)
1.00000000000000e+00	(3.93356152596785e+00dB,6.99138437509055e+01°)
1.00695555005672e+00	(3.98090391637671e+00dB,6.96832185905440e+01°)
1.01395947979003e+00	(4.02807445915192e+00dB,6.94523850424067e+01°)
1.02101212570719e+00	(4.07507231766270e+00dB,6.92213444970436e+01°)
1.02811382665607e+00	(4.12189665532499e+00dB,6.89900984554908e+01°)
1.03526492384138e+00	(4.16854663494780e+00dB,6.87586485240620e+01°)
1.04246576084112e+00	(4.21502142040422e+00dB,6.85269964202932e+01°)
1.04971668362307e+00	(4.26132017572880e+00dB,6.82951439688868e+01°)
1.05701804056138e+00	(4.30744206591999e+00dB,6.80630931039611e+01°)
1.06437018245336e+00	(4.35338625729546e+00dB,6.78308458698018e+01°)
1.07177346253629e+00	(4.39915191738523e+00dB,6.75984044195412e+01°)
1.07922823650443e+00	(4.44473821609413e+00dB,6.73657710165388e+01°)
1.08673486252606e+00	(4.49014432477698e+00dB,6.71329480336946e+01°)
1.09429370126074e+00	(4.53536941741356e+00dB,6.68999379535300e+01°)
1.10190511587661e+00	(4.58041267098007e+00dB,6.66667433694304e+01°)
1.10956947206785e+00	(4.62527326509074e+00dB,6.64333669836881e+01°)
1.11728713807222e+00	(4.66995038280493e+00dB,6.61998116095733e+01°)
1.12505848468881e+00	(4.71444321090937e+00dB,6.59660801698409e+01°)
1.13288388529580e+00	(4.75875094024649e+00dB,6.57321756968084e+01°)
1.14076371586843e+00	(4.80287276549807e+00dB,6.54981013324973e+01°)
1.14869835499704e+00	(4.84680788648881e+00dB,6.52638603282823e+01°)
1.15668818390529e+00	(4.89055550733141e+00dB,6.50294560449518e+01°)
1.16473358646846e+00	(4.93411483773576e+00dB,6.47948919522266e+01°)
1.17283494923188e+00	(4.97748509291443e+00dB,6.45601716280215e+01°)
1.18099266142953e+00	(5.02066549390808e+00dB,6.43252987588670e+01°)
1.18920711500272e+00	(5.06365526775907e+00dB,6.40902771386790e+01°)
1.19747870461893e+00	(5.10645364791046e+00dB,6.38551106693245e+01°)
1.20580782769076e+00	(5.14905987486777e+00dB,6.36198033583669e+01°)
1.21419488439505e+00	(5.19147319596042e+00dB,6.33843593210151e+01°)
1.22264027769207e+00	(5.23369286594443e+00dB,6.31487827777462e+01°)
1.23114441334492e+00	(5.27571814757855e+00dB,6.29130780537011e+01°)
1.23970769993899e+00	(5.31754831132331e+00dB,6.26772495788029e+01°)
1.24833054890161e+00	(5.35918263587384e+00dB,6.24413018869392e+01°)
1.25701337452183e+00	(5.40062040894137e+00dB,6.22052396146164e+01°)
1.26575659397028e+00	(5.44186092686998e+00dB,6.19690675000399e+01°)
1.27456062731927e+00	(5.48290349534041e+00dB,6.17327903839078e+01°)
1.28342589756291e+00	(5.52374742983141e+00dB,6.14964132062177e+01°)
1.29235283063750e+00	(5.56439205515681e+00dB,6.12599410071270e+01°)
1.30134185544194e+00	(5.60483670679028e+00dB,6.10233789251935e+01°)
1.31039340385837e+00	(5.64508073012969e+00dB,6.07867321961813e+01°)
1.31950791077290e+00	(5.68512348199109e+00dB,6.05500061523182e+01°)
1.32868581409652e+00	(5.72496432953709e+00dB,6.03132062212365e+01°)
1.33792755478612e+00	(5.76460265161796e+00dB,6.00763379247760e+01°)
1.34723357686569e+00	(5.80403783876080e+00dB,5.98394068779207e+01°)
1.35660432744768e+00	(5.84326929305444e+00dB,5.96024187862627e+01°)
1.36604025675440e+00	(5.88229642910007e+00dB,5.93653794475921e+01°)
1.37554181813975e+00	(5.92111867381623e+00dB,5.91282947473627e+01°)
1.38510946811093e+00	(5.95973546667118e+00dB,5.88911706593292e+01°)
1.39474366635041e+00	(5.99814626033551e+00dB,5.86540132436249e+01°)
1.40444487573800e+00	(6.03635052058650e+00dB,5.84168286452039e+01°)
1.41421356237310e+00	(6.07434772684045e+00dB,5.81796230918357e+01°)
1.42405019559708e+00	(6.11213737216724e+00dB,5.79424028942248e+01°)
