Freq.	V(out)
1.00000000000000e+00	(-7.70329380001705e+00dB,6.99150731289665e+01°)
1.00695555005672e+00	(-7.65595131156389e+00dB,6.96844561556506e+01°)
1.01395947979003e+00	(-7.60878066971349e+00dB,6.94536308463604e+01°)
1.02101212570719e+00	(-7.56178271154855e+00dB,6.92225985941151e+01°)
1.02811382665607e+00	(-7.51495827378028e+00dB,6.89913608959006e+01°)
1.03526492384138e+00	(-7.46830819306304e+00dB,6.87599193598587e+01°)
1.04246576084112e+00	(-7.42183330579062e+00dB,6.85282757059315e+01°)
1.04971668362307e+00	(-7.37553444804017e+00dB,6.82964317582547e+01°)
1.05701804056138e+00	(-7.32941245449979e+00dB,6.80643894489996e+01°)
1.06437018245336e+00	(-7.28346815916002e+00dB,6.78321508261329e+01°)
1.07177346253629e+00	(-7.23770239458173e+00dB,6.75997180411585e+01°)
1.07922823650443e+00	(-7.19211599080140e+00dB,6.73670933570087e+01°)
1.08673486252606e+00	(-7.14670977621715e+00dB,6.71342791493520e+01°)
1.09429370126074e+00	(-7.10148457715579e+00dB,6.69012778988692e+01°)
1.10190511587661e+00	(-7.05644121606972e+00dB,6.66680922009179e+01°)
1.10956947206785e+00	(-7.01158051417990e+00dB,6.64347247563709e+01°)
1.11728713807222e+00	(-6.96690328787450e+00dB,6.62011783807200e+01°)
1.12505848468881e+00	(-6.92241035050174e+00dB,6.59674559960564e+01°)
1.13288388529580e+00	(-6.87810251123486e+00dB,6.57335606340265e+01°)
1.14076371586843e+00	(-6.83398057522189e+00dB,6.54994954396917e+01°)
1.14869835499704e+00	(-6.79004534315856e+00dB,6.52652636623461e+01°)
1.15668818390529e+00	(-6.74629761026670e+00dB,6.50308686637165e+01°)
1.16473358646846e+00	(-6.70273816732480e+00dB,6.47963139149952e+01°)
1.17283494923188e+00	(-6.65936779872981e+00dB,6.45616029949570e+01°)
1.18099266142953e+00	(-6.61618728402143e+00dB,6.43267395869813e+01°)
1.18920711500272e+00	(-6.57319739581779e+00dB,6.40917274884420e+01°)
1.19747870461893e+00	(-6.53039890055039e+00dB,6.38565706009528e+01°)
1.20580782769076e+00	(-6.48779255789606e+00dB,6.36212729318057e+01°)
1.21419488439505e+00	(-6.44537912058267e+00dB,6.33858385972013e+01°)
1.22264027769207e+00	(-6.40315933353211e+00dB,6.31502718187210e+01°)
1.23114441334492e+00	(-6.36113393445009e+00dB,6.29145769199839e+01°)
1.23970769993899e+00	(-6.31930365267066e+00dB,6.26787583324014e+01°)
1.24833054890161e+00	(-6.27766920947312e+00dB,6.24428205904403e+01°)
1.25701337452183e+00	(-6.23623131709220e+00dB,6.22067683310539e+01°)
1.26575659397028e+00	(-6.19499067957706e+00dB,6.19706062911829e+01°)
1.27456062731927e+00	(-6.15394799068172e+00dB,6.17343393155859e+01°)
1.28342589756291e+00	(-6.11310393525938e+00dB,6.14979723415981e+01°)
1.29235283063750e+00	(-6.07245918821771e+00dB,6.12615104109317e+01°)
1.30134185544194e+00	(-6.03201441500174e+00dB,6.10249586606832e+01°)
1.31039340385837e+00	(-5.99177026892493e+00dB,6.07883223297378e+01°)
1.31950791077290e+00	(-5.95172739423547e+00dB,6.05516067494077e+01°)
1.32868581409652e+00	(-5.91188642290341e+00dB,6.03148173490244e+01°)
1.33792755478612e+00	(-5.87224797676521e+00dB,6.00779596483623e+01°)
1.34723357686569e+00	(-5.83281266512241e+00dB,5.98410392647335e+01°)
1.35660432744768e+00	(-5.79358108594249e+00dB,5.96040619054221e+01°)
1.36604025675440e+00	(-5.75455382416566e+00dB,5.93670333660739e+01°)
1.37554181813975e+00	(-5.71573145376821e+00dB,5.91299595324460e+01°)
1.38510946811093e+00	(-5.67711453427121e+00dB,5.88928463804321e+01°)
1.39474366635041e+00	(-5.63870361399476e+00dB,5.86556999697667e+01°)
1.40444487573800e+00	(-5.60049922657185e+00dB,5.84185264468992e+01°)
1.41421356237310e+00	(-5.56250189236586e+00dB,5.81813320390110e+01°)
1.42405019559708e+00	(-5.52471211909838e+00dB,5.79441230570723e+01°)
1.43395524801583e+00	(-5.48713039912337e+00dB,5.77069058936575e+01°)
1.44392919552250e+00	(-5.44975721112645e+00dB,5.74696870161773e+01°)
1.45397251732032e+00	(-5.41259301927509e+00dB,5.72324729730645e+01°)
1.46408569594563e+00	(-5.37563827334426e+00dB,5.69952703856690e+01°)
1.47426921729111e+00	(-5.33889340736979e+00dB,5.67580859493757e+01°)
1.48452357062906e+00	(-5.30235884065093e+00dB,5.65209264318807e+01°)
1.49484924863494e+00	(-5.26603497709166e+00dB,5.62837986716496e+01°)
1.50524674741107e+00	(-5.22992220480024e+00dB,5.60467095738637e+01°)
1.51571656651040e+00	(-5.19402089641497e+00dB,5.58096661135212e+01°)
1.52625920896057e+00	(-5.15833140817304e+00dB,5.55726753230095e+01°)
1.53687518128802e+00	(-5.12285408017043e+00dB,5.53357443079487e+01°)
1.54756499354240e+00	(-5.08758923604962e+00dB,5.50988802249999e+01°)
1.55832915932101e+00	(-5.05253718250304e+00dB,5.48620902945545e+01°)
1.56916819579351e+00	(-5.01769821064229e+00dB,5.46253817911269e+01°)
1.58008262372676e+00	(-4.98307259314437e+00dB,5.43887620473505e+01°)
1.59107296750985e+00	(-4.94866058671390e+00dB,5.41522384454573e+01°)
1.60213975517925e+00	(-4.91446243004978e+00dB,5.39158184200907e+01°)
1.61328351844426e+00	(-4.88047834443318e+00dB,5.36795094531315e+01°)
1.62450479271248e+00	(-4.84670853402331e+00dB,5.34433190722509e+01°)
1.63580411711557e+00	(-4.81315318518205e+00dB,5.32072548534315e+01°)
1.64718203453516e+00	(-4.77981246615789e+00dB,5.29713244069913e+01°)
1.65863909162889e+00	(-4.74668652718580e+00dB,5.27355353906349e+01°)
1.67017583885675e+00	(-4.71377550067777e+00dB,5.24998954976298e+01°)
1.68179283050744e+00	(-4.68107950118430e+00dB,5.22644124513941e+01°)
1.69349062472506e+00	(-4.64859862442037e+00dB,5.20290940177545e+01°)
1.70526978353592e+00	(-4.61633294738294e+00dB,5.17939479834416e+01°)
1.71713087287552e+00	(-4.58428252954779e+00dB,5.15589821727040e+01°)
1.72907446261574e+00	(-4.55244741147010e+00dB,5.13242044305148e+01°)
1.74110112659226e+00	(-4.52082761465377e+00dB,5.10896226273752e+01°)
1.75321144263208e+00	(-4.48942314300994e+00dB,5.08552446559449e+01°)
1.76540599258132e+00	(-4.45823398017143e+00dB,5.06210784289561e+01°)
1.77768536233315e+00	(-4.42726009262875e+00dB,5.03871318739606e+01°)
1.79005014185596e+00	(-4.39650142686241e+00dB,5.01534129366351e+01°)
1.80250092522167e+00	(-4.36595791079643e+00dB,4.99199295709006e+01°)
1.81503831063433e+00	(-4.33562945445820e+00dB,4.96866897456735e+01°)
1.82766290045881e+00	(-4.30551594753866e+00dB,4.94537014343607e+01°)
1.84037530124976e+00	(-4.27561726134732e+00dB,4.92209726162091e+01°)
1.85317612378075e+00	(-4.24593324940531e+00dB,4.89885112757245e+01°)
1.86606598307363e+00	(-4.21646374451201e+00dB,4.87563253940131e+01°)
1.87904549842804e+00	(-4.18720856201662e+00dB,4.85244229574915e+01°)
1.89211529345120e+00	(-4.15816749805078e+00dB,4.82928119423153e+01°)
1.90527599608789e+00	(-4.12934032919219e+00dB,4.80615003214107e+01°)
1.91852823865054e+00	(-4.10072681501059e+00dB,4.78304960600611e+01°)
1.93187265784970e+00	(-4.07232669427874e+00dB,4.75998071138119e+01°)
1.94530989482459e+00	(-4.04413968899607e+00dB,4.73694414193563e+01°)
1.95884059517387e+00	(-4.01616550113111e+00dB,4.71394069054377e+01°)
1.97246540898673e+00	(-3.98840381505624e+00dB,4.69097114799936e+01°)
1.98618499087409e+00	(-3.96085429618670e+00dB,4.66803630315460e+01°)
2.00000000000002e+00	(-3.93351659226585e+00dB,4.64513694271278e+01°)
2.01391110011345e+00	(-3.90639033172928e+00dB,4.62227385098729e+01°)
2.02791895958007e+00	(-3.87947512569461e+00dB,4.59944780964224e+01°)
2.04202425141440e+00	(-3.85277056682905e+00dB,4.57665959745777e+01°)
2.05622765331215e+00	(-3.82627623051242e+00dB,4.55390999024851e+01°)
2.07052984768277e+00	(-3.79999167322725e+00dB,4.53119976049319e+01°)
2.08493152168226e+00	(-3.77391643408953e+00dB,4.50852967734530e+01°)
2.09943336724615e+00	(-3.74805003613042e+00dB,4.48590050609543e+01°)
