Freq.	V(cold)/I(cold)	V(hot)/I(hot)
1.39474366635041e+00	(8.12955995636743e+01dB,1.20239900051031e+02°)	(8.55164205172426e+01dB,1.42795357282387e+02°)
1.40444487573800e+00	(8.12509778409922e+01dB,1.20458288651658e+02°)	(8.54945057107864e+01dB,1.42986435518210e+02°)
1.41421356237310e+00	(8.12066019551316e+01dB,1.20677222446522e+02°)	(8.54727837569885e+01dB,1.43177149541957e+02°)
1.42405019559708e+00	(8.11624728399514e+01dB,1.20896688333182e+02°)	(8.54512539129633e+01dB,1.43367491610809e+02°)
1.43395524801583e+00	(8.11185913996426e+01dB,1.21116673131213e+02°)	(8.54299154217571e+01dB,1.43557454062772e+02°)
1.44392919552250e+00	(8.10749585085536e+01dB,1.21337163585736e+02°)	(8.54087675126040e+01dB,1.43747029317957e+02°)
1.45397251732032e+00	(8.10315750110253e+01dB,1.21558146370976e+02°)	(8.53878094011849e+01dB,1.43936209879804e+02°)
1.46408569594563e+00	(8.09884417212410e+01dB,1.21779608093830e+02°)	(8.53670402898879e+01dB,1.44124988336268e+02°)
1.47426921729111e+00	(8.09455594230854e+01dB,1.22001535297449e+02°)	(8.53464593680733e+01dB,1.44313357360959e+02°)
1.48452357062906e+00	(8.09029288700158e+01dB,1.22223914464833e+02°)	(8.53260658123398e+01dB,1.44501309714254e+02°)
1.49484924863494e+00	(8.08605507849464e+01dB,1.22446732022437e+02°)	(8.53058587867937e+01dB,1.44688838244347e+02°)
1.50524674741107e+00	(8.08184258601417e+01dB,1.22669974343771e+02°)	(8.52858374433199e+01dB,1.44875935888277e+02°)
1.51571656651040e+00	(8.07765547571246e+01dB,1.22893627753030e+02°)	(8.52660009218545e+01dB,1.45062595672892e+02°)
1.52625920896057e+00	(8.07349381065933e+01dB,1.23117678528708e+02°)	(8.52463483506606e+01dB,1.45248810715794e+02°)
1.53687518128802e+00	(8.06935765083518e+01dB,1.23342112907217e+02°)	(8.52268788466053e+01dB,1.45434574226228e+02°)
1.54756499354240e+00	(8.06524705312513e+01dB,1.23566917086520e+02°)	(8.52075915154355e+01dB,1.45619879505921e+02°)
1.55832915932101e+00	(8.06116207131431e+01dB,1.23792077229744e+02°)	(8.51884854520596e+01dB,1.45804719949899e+02°)
1.56916819579351e+00	(8.05710275608431e+01dB,1.24017579468803e+02°)	(8.51695597408271e+01dB,1.45989089047247e+02°)
1.58008262372676e+00	(8.05306915501080e+01dB,1.24243409908011e+02°)	(8.51508134558096e+01dB,1.46172980381827e+02°)
1.59107296750985e+00	(8.04906131256224e+01dB,1.24469554627691e+02°)	(8.51322456610845e+01dB,1.46356387632967e+02°)
1.60213975517925e+00	(8.04507927009980e+01dB,1.24695999687769e+02°)	(8.51138554110160e+01dB,1.46539304576085e+02°)
1.61328351844426e+00	(8.04112306587838e+01dB,1.24922731131370e+02°)	(8.50956417505401e+01dB,1.46721725083295e+02°)
1.62450479271248e+00	(8.03719273504871e+01dB,1.25149734988389e+02°)	(8.50776037154476e+01dB,1.46903643123956e+02°)
1.63580411711557e+00	(8.03328830966062e+01dB,1.25376997279058e+02°)	(8.50597403326674e+01dB,1.47085052765182e+02°)
1.64718203453516e+00	(8.02940981866740e+01dB,1.25604504017492e+02°)	(8.50420506205519e+01dB,1.47265948172321e+02°)
1.65863909162889e+00	(8.02555728793127e+01dB,1.25832241215226e+02°)	(8.50245335891595e+01dB,1.47446323609377e+02°)
1.67017583885675e+00	(8.02173074022991e+01dB,1.26060194884724e+02°)	(8.50071882405381e+01dB,1.47626173439401e+02°)
1.68179283050744e+00	(8.01793019526406e+01dB,1.26288351042873e+02°)	(8.49900135690084e+01dB,1.47805492124845e+02°)
1.69349062472506e+00	(8.01415566966627e+01dB,1.26516695714460e+02°)	(8.49730085614468e+01dB,1.47984274227868e+02°)
1.70526978353592e+00	(8.01040717701059e+01dB,1.26745214935614e+02°)	(8.49561721975659e+01dB,1.48162514410606e+02°)
1.71713087287552e+00	(8.00668472782341e+01dB,1.26973894757240e+02°)	(8.49395034501959e+01dB,1.48340207435401e+02°)
1.72907446261574e+00	(8.00298832959520e+01dB,1.27202721248405e+02°)	(8.49230012855644e+01dB,1.48517348165000e+02°)
1.74110112659226e+00	(7.99931798679347e+01dB,1.27431680499725e+02°)	(8.49066646635752e+01dB,1.48693931562701e+02°)
1.75321144263208e+00	(7.99567370087649e+01dB,1.27660758626693e+02°)	(8.48904925380849e+01dB,1.48869952692474e+02°)
1.76540599258132e+00	(7.99205547030824e+01dB,1.27889941773000e+02°)	(8.48744838571797e+01dB,1.49045406719040e+02°)
1.77768536233315e+00	(7.98846329057412e+01dB,1.28119216113812e+02°)	(8.48586375634495e+01dB,1.49220288907912e+02°)
1.79005014185596e+00	(7.98489715419781e+01dB,1.28348567859016e+02°)	(8.48429525942602e+01dB,1.49394594625401e+02°)
1.80250092522167e+00	(7.98135705075893e+01dB,1.28577983256435e+02°)	(8.48274278820254e+01dB,1.49568319338587e+02°)
1.81503831063433e+00	(7.97784296691174e+01dB,1.28807448595002e+02°)	(8.48120623544752e+01dB,1.49741458615258e+02°)
1.82766290045881e+00	(7.97435488640466e+01dB,1.29036950207904e+02°)	(8.47968549349236e+01dB,1.49914008123807e+02°)
1.84037530124976e+00	(7.97089279010076e+01dB,1.29266474475680e+02°)	(8.47818045425329e+01dB,1.50085963633099e+02°)
1.85317612378075e+00	(7.96745665599912e+01dB,1.29496007829286e+02°)	(8.47669100925772e+01dB,1.50257321012309e+02°)
1.86606598307363e+00	(7.96404645925698e+01dB,1.29725536753113e+02°)	(8.47521704967028e+01dB,1.50428076230719e+02°)
1.87904549842804e+00	(7.96066217221288e+01dB,1.29955047787970e+02°)	(8.47375846631860e+01dB,1.50598225357491e+02°)
1.89211529345120e+00	(7.95730376441043e+01dB,1.30184527534022e+02°)	(8.47231514971897e+01dB,1.50767764561403e+02°)
